# Walkable / kill volumes — center ± half-extent.
# id,centerX,centerY,centerZ,extentX,extentY,extentZ
south-entry,0.0,0.26,-35.0,7.6,0.24,10.5
south-causeway,0.0,0.26,-18.0,6.8,0.24,17.8
main-plaza,0.0,0.26,2.0,17.8,0.24,19.5
west-catwalk,-18.0,4.78,0.0,4.7,0.18,29.5
east-catwalk,18.0,6.78,4.0,3.7,0.18,23.5
north-bridge,12.0,9.68,21.0,17.7,0.18,3.7
east-stair-landing-a,21.0,6.28,11.0,4.7,0.18,2.7
east-stair-landing-b,17.0,12.38,15.0,3.9,0.18,2.7
east-observation-deck,12.0,18.38,22.0,11.7,0.18,3.7
north-apse-floor,0.0,0.26,42.0,11.5,0.24,10.5
north-apse-steps,0.0,2.2,34.0,7.2,1.2,6.2
void-kill-respawn,0.0,-8.0,0.0,92.0,8.0,96.0
