# name,type,posX,posY,posZ,scaleX,scaleY,scaleZ,colorR,colorG,colorB,shading,texture,tileX,tileY,rotX,rotY,rotZ,thickness,spanDegrees,radialSegments,archStyle,steps,materialStyle,materialWorkflow,normalTexture,ormTexture,detailTexture,emissiveTexture,emissiveR,emissiveG,emissiveB,roughness,metallic
# Liminal Hall structural assembly — monumental liminal concrete chamber authored through engine structural brushes.
OuterBasinFloor,ramp,0.0,-1.8,2.0,74.0,10.0,86.0,0.74,0.74,0.72,lit,ri_psx_official_tile_21.png,16.0,16.0,0.0,180.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.99,0.0
SouthEntryFloor,plane,0.0,0.10,-35.0,8.5,1.0,11.0,0.72,0.71,0.68,lit,ri_psx_official_tile_21.png,2.0,3.0,-90.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.98,0.0
SouthEntryWallWest,box,-8.8,4.6,-34.0,1.4,9.0,14.0,0.66,0.65,0.63,lit,ri_psx_official_stone_08.png,2.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.99,0.0
SouthEntryWallEast,box,8.8,4.6,-34.0,1.4,9.0,14.0,0.66,0.65,0.63,lit,ri_psx_official_stone_08.png,2.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.99,0.0
SouthEntryCeiling,plane,0.0,9.1,-34.0,8.5,1.0,14.0,0.68,0.67,0.64,lit,ri_psx_official_stone_08.png,2.0,4.0,90.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
SouthExitArch,arch_round,0.0,3.6,-21.5,4.0,6.0,1.2,0.74,0.73,0.70,lit,ri_psx_official_stone_08.png,2.0,2.0,0.0,0.0,0.0,0.42,180.0,18,round,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.98,0.0
SouthCauseway,plane,0.0,0.15,-18.0,7.5,1.0,18.0,0.72,0.72,0.70,lit,ri_psx_official_tile_21.png,2.0,6.0,-90.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.98,0.0
MainCentralPlaza,plane,0.0,0.15,2.0,18.0,1.0,20.0,0.76,0.76,0.74,lit,ri_psx_official_tile_21.png,4.0,5.0,-90.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_andesite.png,-,0.0,0.0,0.0,0.98,0.0
MainPlazaLowerWallWest,box,-18.5,2.4,2.0,1.2,4.8,20.0,0.66,0.66,0.64,lit,ri_psx_official_stone_08.png,1.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
MainPlazaLowerWallEast,box,18.5,2.4,2.0,1.2,4.8,20.0,0.66,0.66,0.64,lit,ri_psx_official_stone_08.png,1.0,4.0,0.0,0.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
WestRetainingSlope,ramp,-23.0,6.0,4.0,18.0,12.0,32.0,0.68,0.68,0.66,lit,ri_psx_official_stone_08.png,4.0,6.0,0.0,90.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
EastRetainingMass,ramp,23.0,7.0,8.0,16.0,14.0,28.0,0.66,0.66,0.64,lit,ri_psx_official_stone_08.png,4.0,6.0,0.0,-90.0,0.0,,,,,,layered,MetalRough,ctm/RT_all_concrete_1_n.png,-,tile/RT_tuff.png,-,0.0,0.0,0.0,0.99,0.0
WestCatwalk,plane,-18.0,4.6,0.0,5.0,1.0,30.0,0.36,0.37,0.39,lit,ri_psx_official_metal_06.png,1.0,8.0,-90.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestCatwalkBeamA,box,-18.0,3.2,-10.0,0.8,1.8,10.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,3.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
WestCatwalkBeamB,box,-18.0,3.2,10.0,0.8,1.8,10.0,0.32,0.33,0.35,lit,ri_psx_official_metal_06.png,1.0,3.0,0.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
EastCatwalk,plane,18.0,6.6,4.0,4.0,1.0,24.0,0.36,0.37,0.39,lit,ri_psx_official_metal_06.png,1.0,6.0,-90.0,0.0,0.0,,,,,,mixedmedia,SpecGloss,ctm/RT_all_copper_grate_1_n.png,ctm/RT_all_copper_grate_1_s.png,tile/RT_stainless_steel.png,-,0.0,0.0,0.0,0.82,0.18
